record_id,timestamp,line_id,machine_id,temperature,pressure,vibration,power,data_quality
01e5731056630f7809d31fff9a718602,2025-03-04 11:30:00,Line_1,machine_1,62.79,1.28,39.45,1.41,good
30face372fee6a37f36c2d37bfc519ad,2025-03-04 11:35:00,Line_1,machine_1,75.38,4.9,44.2,1.8,good
25059300760702f257590c4b4a4ba5da,2025-03-04 12:11:00,Line_1,machine_1,65.37,2.46,55.11,2.46,good
fe15b3282f2d397e67e445f280267e7f,2025-03-04 12:47:00,Line_1,machine_1,62.07,4.49,46.53,3.98,good
bbd0d996a4ff352eee90b9db387820b9,2025-03-04 13:02:00,Line_1,machine_1,73.12,1.06,66.83,3.69,good
5d375ad310cea3cf95fa07812a1ddb1e,2025-03-04 16:01:00,Line_1,machine_1,83.47,2.86,78.92,4.11,good
0fcc16e6da468101446498ba014fb87c,2025-03-04 16:33:00,Line_1,machine_1,72.97,1.66,41.25,2.64,good
d3785a2f7709e51bbe222fd96601a591,2025-03-04 16:38:00,Line_1,machine_1,74.51,1.47,52.96,4.49,good
c50aff381a4412083b91d4c34f7ba577,2025-03-04 18:09:00,Line_1,machine_1,72.24,1.88,26.44,4.49,good
5cabff8bb3affd1ee7d020dacc6283ab,2025-03-04 20:04:00,Line_1,machine_1,80.55,1.98,45.1,2.6,good
6815d551dfa93b6ade7788dd5220b864,2025-03-04 21:39:00,Line_1,machine_1,81.82,2.56,63.58,3.67,good
26549fcfa53fe7f54100ae826152e49c,2025-03-04 21:49:00,Line_1,machine_1,81.01,4.49,55.54,1.61,good
6105166dbf031e893630eaf636cabffa,2025-03-04 23:36:00,Line_1,machine_1,76.58,1.45,62.0,1.61,good
d350ce73741840a4a0ff52f8e2e843fd,2025-03-04 23:43:00,Line_1,machine_1,82.34,3.11,48.53,0.55,good
705c5528bc0e9c8fb3cfe0d2329c2b1a,2025-03-05 00:36:00,Line_1,machine_1,87.63,2.07,53.44,3.59,good
9080988129e158b34bf92e44b63262da,2025-03-05 00:48:00,Line_1,machine_1,68.54,1.24,39.27,3.54,good
dd24f7997be9cf8dfa935a6bbad505d9,2025-03-05 03:02:00,Line_1,machine_1,78.49,2.53,59.98,3.43,good
58d6e6dc6b43a5ff61d526148524447a,2025-03-05 03:08:00,Line_1,machine_1,65.89,4.9,37.4,5.0,good
3a4f79a6d27c6d9c18bc1f2c83cec9ce,2025-03-05 03:27:00,Line_1,machine_1,66.25,3.0,50.05,3.42,good
6bb6471cc16caa8dcd97176b32e4e3cf,2025-03-05 05:34:00,Line_1,machine_1,83.57,1.62,44.26,4.73,good
701334f535c1f8f684c5f5fbc3936615,2025-03-05 05:54:00,Line_1,machine_1,75.2,1.78,37.33,2.62,good
1a31c767250336b4ac723b36724edfc9,2025-03-05 06:42:00,Line_1,machine_1,82.98,2.89,49.6,0.66,good
2b554716ee512242b7475e0d6a4064be,2025-03-05 06:46:00,Line_1,machine_1,69.43,1.5,60.65,3.92,good
4220272171505fb6162a9f389b30f075,2025-03-05 06:55:00,Line_1,machine_1,95.36,2.25,41.28,4.86,good
d5d84ef370390115d8c2a8fa4b62c3e7,2025-03-05 07:05:00,Line_1,machine_1,79.02,1.32,62.8,3.41,good
1b2c4d4d0e818561d4f493736ac41ef2,2025-03-05 07:10:00,Line_1,machine_1,76.55,2.54,42.4,3.76,good
1ffc53a46c4b94a4997aa5ea5d456d40,2025-03-05 08:22:00,Line_1,machine_1,75.11,2.68,60.08,2.32,good
7c49093bd68c4828c06c8757599078f3,2025-03-05 08:55:00,Line_1,machine_1,73.18,3.34,63.39,3.06,good
9a026587239885b4e448c01b35ad3d81,2025-03-05 11:20:00,Line_1,machine_1,79.95,3.63,45.68,0.58,good
3e146f5c10df979a0a8d876b14258d01,2025-03-05 11:30:00,Line_1,machine_1,80.35,4.38,62.77,0.98,good
04cb3b9b6f4dbae2537201a48f3ce1d5,2025-03-05 11:45:00,Line_1,machine_1,94.44,3.71,44.58,1.63,good
ffd5a034923b32a896e73274b3f12abc,2025-03-05 12:03:00,Line_1,machine_1,93.17,2.64,96.37,1.49,good
915e7468503e7a85d2bbabc11edd1036,2025-03-05 12:15:00,Line_1,machine_1,82.89,2.39,42.96,1.61,good
e00c8ada5ea7da277a503c0257ade9bc,2025-03-05 12:20:00,Line_1,machine_1,88.43,2.0,50.97,4.44,good
24d6d13b8390e4da30374c3eb4466d0b,2025-03-05 13:06:00,Line_1,machine_1,73.83,2.19,53.86,2.42,good
d26fcf2f8f392a1c96144f56628493de,2025-03-05 14:08:00,Line_1,machine_1,81.36,1.41,61.06,4.25,good
381f2eed552850f2282c3c215025eb8d,2025-03-05 14:30:00,Line_1,machine_1,80.64,4.49,51.31,3.39,good
6d3a080262ca58c0d4d803a9f821d319,2025-03-05 15:35:00,Line_1,machine_1,97.39,2.58,50.82,0.83,good
3116720772bf94b50ad437ce5f4ff1f9,2025-03-05 17:21:00,Line_1,machine_1,68.06,4.48,55.5,3.09,good
aecc19070ee3422e9a651eee9f1aa7c1,2025-03-05 17:39:00,Line_1,machine_1,70.59,2.41,68.26,4.55,good
75fce379d21c2b18d0154dc6aa5938fb,2025-03-05 18:06:00,Line_1,machine_1,77.82,4.12,56.8,4.43,good
eb115665d703bd6757b3892113e588bd,2025-03-05 18:08:00,Line_1,machine_1,65.37,2.32,65.69,1.22,good
e8f4434f27ab4b2797b033aa2e1959bd,2025-03-05 19:34:00,Line_1,machine_1,86.66,1.64,55.82,3.85,good
a20162673535d36210c5af48975d0d37,2025-03-05 19:41:00,Line_1,machine_1,77.02,1.83,45.27,2.7,good
